,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked
137,138,0,1,0,1,0,53.1,2
138,139,0,3,0,0,0,9.2167,2
139,140,0,1,0,0,0,79.2,0
140,141,0,3,1,0,2,15.2458,0
141,142,1,3,1,0,0,7.75,2
142,143,1,3,1,1,0,15.85,2
143,144,0,3,0,0,0,6.75,1
144,145,0,2,0,0,0,11.5,2
145,146,0,2,0,1,1,36.75,2
146,147,1,3,0,0,0,7.7958,2
147,148,0,3,1,2,2,34.375,2
148,149,0,2,0,0,2,26.0,2
149,150,0,2,0,0,0,13.0,2
150,151,0,2,0,0,0,12.525,2
151,152,1,1,1,1,0,66.6,2
152,153,0,3,0,0,0,8.05,2
153,154,0,3,0,0,2,14.5,2
154,155,0,3,0,0,0,7.3125,2
155,156,0,1,0,0,1,61.3792,0
156,157,1,3,1,0,0,7.7333,1
157,158,0,3,0,0,0,8.05,2
158,159,0,3,0,0,0,8.6625,2
159,160,0,3,0,8,2,69.55,2
160,161,0,3,0,0,1,16.1,2
161,162,1,2,1,0,0,15.75,2
162,163,0,3,0,0,0,7.775,2
163,164,0,3,0,0,0,8.6625,2
164,165,0,3,0,4,1,39.6875,2
165,166,1,3,0,0,2,20.525,2
166,167,1,1,1,0,1,55.0,2
167,168,0,3,1,1,4,27.9,2
168,169,0,1,0,0,0,25.925,2
169,170,0,3,0,0,0,56.4958,2
170,171,0,1,0,0,0,33.5,2
171,172,0,3,0,4,1,29.125,1
172,173,1,3,1,1,1,11.1333,2
173,174,0,3,0,0,0,7.925,2
174,175,0,1,0,0,0,30.6958,0
175,176,0,3,0,1,1,7.8542,2
176,177,0,3,0,3,1,25.4667,2
177,178,0,1,1,0,0,28.7125,0
178,179,0,2,0,0,0,13.0,2
179,180,0,3,0,0,0,0.0,2
180,181,0,3,1,8,2,69.55,2
181,182,0,2,0,0,0,15.05,0
182,183,0,3,0,4,2,31.3875,2
183,184,1,2,0,2,1,39.0,2
184,185,1,3,1,0,2,22.025,2
185,186,0,1,0,0,0,50.0,2
186,187,1,3,1,1,0,15.5,1
187,188,1,1,0,0,0,26.55,2
188,189,0,3,0,1,1,15.5,1
189,190,0,3,0,0,0,7.8958,2
190,191,1,2,1,0,0,13.0,2
191,192,0,2,0,0,0,13.0,2
192,193,1,3,1,1,0,7.8542,2
193,194,1,2,0,1,1,26.0,2
194,195,1,1,1,0,0,27.7208,0
195,196,1,1,1,0,0,146.5208,0
196,197,0,3,0,0,0,7.75,1
197,198,0,3,0,0,1,8.4042,2
198,199,1,3,1,0,0,7.75,1
199,200,0,2,1,0,0,13.0,2
200,201,0,3,0,0,0,9.5,2
201,202,0,3,0,8,2,69.55,2
202,203,0,3,0,0,0,6.4958,2
203,204,0,3,0,0,0,7.225,0
204,205,1,3,0,0,0,8.05,2
205,206,0,3,1,0,1,10.4625,2
206,207,0,3,0,1,0,15.85,2
207,208,1,3,0,0,0,18.7875,0
208,209,1,3,1,0,0,7.75,1
209,210,1,1,0,0,0,31.0,0
210,211,0,3,0,0,0,7.05,2
211,212,1,2,1,0,0,21.0,2
212,213,0,3,0,0,0,7.25,2
213,214,0,2,0,0,0,13.0,2
214,215,0,3,0,1,0,7.75,1
215,216,1,1,1,1,0,113.275,0
216,217,1,3,1,0,0,7.925,2
217,218,0,2,0,1,0,27.0,2
218,219,1,1,1,0,0,76.2917,0
219,220,0,2,0,0,0,10.5,2
220,221,1,3,0,0,0,8.05,2
221,222,0,2,0,0,0,13.0,2
222,223,0,3,0,0,0,8.05,2
223,224,0,3,0,0,0,7.8958,2
224,225,1,1,0,1,0,90.0,2
225,226,0,3,0,0,0,9.35,2
226,227,1,2,0,0,0,10.5,2
227,228,0,3,0,0,0,7.25,2
228,229,0,2,0,0,0,13.0,2
229,230,0,3,1,3,1,25.4667,2
230,231,1,1,1,1,0,83.475,2
231,232,0,3,0,0,0,7.775,2
232,233,0,2,0,0,0,13.5,2
233,234,1,3,1,4,2,31.3875,2
234,235,0,2,0,0,0,10.5,2
235,236,0,3,1,0,0,7.55,2
236,237,0,2,0,1,0,26.0,2
237,238,1,2,1,0,2,26.25,2
238,239,0,2,0,0,0,10.5,2
239,240,0,2,0,0,0,12.275,2
240,241,0,3,1,1,0,14.4542,0
241,242,1,3,1,1,0,15.5,1
242,243,0,2,0,0,0,10.5,2
243,244,0,3,0,0,0,7.125,2
244,245,0,3,0,0,0,7.225,0
245,246,0,1,0,2,0,90.0,1
246,247,0,3,1,0,0,7.775,2
247,248,1,2,1,0,2,14.5,2
248,249,1,1,0,1,1,52.5542,2
249,250,0,2,0,1,0,26.0,2
250,251,0,3,0,0,0,7.25,2
251,252,0,3,1,1,1,10.4625,2
252,253,0,1,0,0,0,26.55,2
253,254,0,3,0,1,0,16.1,2
254,255,0,3,1,0,2,20.2125,2
255,256,1,3,1,0,2,15.2458,0
256,257,1,1,1,0,0,79.2,0
257,258,1,1,1,0,0,86.5,2
258,259,1,1,1,0,0,512.3292,0
259,260,1,2,1,0,1,26.0,2
260,261,0,3,0,0,0,7.75,1
261,262,1,3,0,4,2,31.3875,2
262,263,0,1,0,1,1,79.65,2
263,264,0,1,0,0,0,0.0,2
264,265,0,3,1,0,0,7.75,1
265,266,0,2,0,0,0,10.5,2
266,267,0,3,0,4,1,39.6875,2
267,268,1,3,0,1,0,7.775,2
268,269,1,1,1,0,1,153.4625,2
269,270,1,1,1,0,0,135.6333,2
270,271,0,1,0,0,0,31.0,2
271,272,1,3,0,0,0,0.0,2
272,273,1,2,1,0,1,19.5,2
273,274,0,1,0,0,1,29.7,0
274,275,1,3,1,0,0,7.75,1
275,276,1,1,1,1,0,77.9583,2
276,277,0,3,1,0,0,7.75,2
277,278,0,2,0,0,0,0.0,2
278,279,0,3,0,4,1,29.125,1
279,280,1,3,1,1,1,20.25,2
280,281,0,3,0,0,0,7.75,1
281,282,0,3,0,0,0,7.8542,2
282,283,0,3,0,0,0,9.5,2
283,284,1,3,0,0,0,8.05,2
284,285,0,1,0,0,0,26.0,2
285,286,0,3,0,0,0,8.6625,0
286,287,1,3,0,0,0,9.5,2
287,288,0,3,0,0,0,7.8958,2
288,289,1,2,0,0,0,13.0,2
289,290,1,3,1,0,0,7.75,1
290,291,1,1,1,0,0,78.85,2
291,292,1,1,1,1,0,91.0792,0
292,293,0,2,0,0,0,12.875,0
293,294,0,3,1,0,0,8.85,2
294,295,0,3,0,0,0,7.8958,2
295,296,0,1,0,0,0,27.7208,0
296,297,0,3,0,0,0,7.2292,0
297,298,0,1,1,1,2,151.55,2
298,299,1,1,0,0,0,30.5,2
299,300,1,1,1,0,1,247.5208,0
300,301,1,3,1,0,0,7.75,1
301,302,1,3,0,2,0,23.25,1
302,303,0,3,0,0,0,0.0,2
303,304,1,2,1,0,0,12.35,1
304,305,0,3,0,0,0,8.05,2
305,306,1,1,0,1,2,151.55,2
306,307,1,1,1,0,0,110.8833,0
307,308,1,1,1,1,0,108.9,0
308,309,0,2,0,1,0,24.0,0
309,310,1,1,1,0,0,56.9292,0
310,311,1,1,1,0,0,83.1583,0
311,312,1,1,1,2,2,262.375,0
312,313,0,2,1,1,1,26.0,2
313,314,0,3,0,0,0,7.8958,2
314,315,0,2,0,1,1,26.25,2
315,316,1,3,1,0,0,7.8542,2
316,317,1,2,1,1,0,26.0,2
317,318,0,2,0,0,0,14.0,2
318,319,1,1,1,0,2,164.8667,2
319,320,1,1,1,1,1,134.5,0
320,321,0,3,0,0,0,7.25,2
321,322,0,3,0,0,0,7.8958,2
322,323,1,2,1,0,0,12.35,1
323,324,1,2,1,1,1,29.0,2
324,325,0,3,0,8,2,69.55,2
325,326,1,1,1,0,0,135.6333,0
326,327,0,3,0,0,0,6.2375,2
327,328,1,2,1,0,0,13.0,2
328,329,1,3,1,1,1,20.525,2
329,330,1,1,1,0,1,57.9792,0
330,331,1,3,1,2,0,23.25,1
331,332,0,1,0,0,0,28.5,2
332,333,0,1,0,0,1,153.4625,2
333,334,0,3,0,2,0,18.0,2
334,335,1,1,1,1,0,133.65,2
335,336,0,3,0,0,0,7.8958,2
336,337,0,1,0,1,0,66.6,2
337,338,1,1,1,0,0,134.5,0
338,339,1,3,0,0,0,8.05,2
339,340,0,1,0,0,0,35.5,2
340,341,1,2,0,1,1,26.0,2
341,342,1,1,1,3,2,263.0,2
342,343,0,2,0,0,0,13.0,2
343,344,0,2,0,0,0,13.0,2
344,345,0,2,0,0,0,13.0,2
345,346,1,2,1,0,0,13.0,2
346,347,1,2,1,0,0,13.0,2
347,348,1,3,1,1,0,16.1,2
348,349,1,3,0,1,1,15.9,2
349,350,0,3,0,0,0,8.6625,2
350,351,0,3,0,0,0,9.225,2
351,352,0,1,0,0,0,35.0,2
352,353,0,3,0,1,1,7.2292,0
353,354,0,3,0,1,0,17.8,2
354,355,0,3,0,0,0,7.225,0
355,356,0,3,0,0,0,9.5,2
356,357,1,1,1,0,1,55.0,2
357,358,0,2,1,0,0,13.0,2
358,359,1,3,1,0,0,7.8792,1
359,360,1,3,1,0,0,7.8792,1
360,361,0,3,0,1,4,27.9,2
361,362,0,2,0,1,0,27.7208,0
362,363,0,3,1,0,1,14.4542,0
363,364,0,3,0,0,0,7.05,2
364,365,0,3,0,1,0,15.5,1
365,366,0,3,0,0,0,7.25,2
366,367,1,1,1,1,0,75.25,0
367,368,1,3,1,0,0,7.2292,0
368,369,1,3,1,0,0,7.75,1
369,370,1,1,1,0,0,69.3,0
370,371,1,1,0,1,0,55.4417,0
371,372,0,3,0,1,0,6.4958,2
372,373,0,3,0,0,0,8.05,2
373,374,0,1,0,0,0,135.6333,0
374,375,0,3,1,3,1,21.075,2
375,376,1,1,1,1,0,82.1708,0
376,377,1,3,1,0,0,7.25,2
377,378,0,1,0,0,2,211.5,0
378,379,0,3,0,0,0,4.0125,0
379,380,0,3,0,0,0,7.775,2
380,381,1,1,1,0,0,227.525,0
381,382,1,3,1,0,2,15.7417,0
382,383,0,3,0,0,0,7.925,2
383,384,1,1,1,1,0,52.0,2
384,385,0,3,0,0,0,7.8958,2
385,386,0,2,0,0,0,73.5,2
386,387,0,3,0,5,2,46.9,2
387,388,1,2,1,0,0,13.0,2
388,389,0,3,0,0,0,7.7292,1
389,390,1,2,1,0,0,12.0,0
390,391,1,1,0,1,2,120.0,2
391,392,1,3,0,0,0,7.7958,2
392,393,0,3,0,2,0,7.925,2
393,394,1,1,1,1,0,113.275,0
394,395,1,3,1,0,2,16.7,2
395,396,0,3,0,0,0,7.7958,2
396,397,0,3,1,0,0,7.8542,2
397,398,0,2,0,0,0,26.0,2
398,399,0,2,0,0,0,10.5,2
399,400,1,2,1,0,0,12.65,2
400,401,1,3,0,0,0,7.925,2
401,402,0,3,0,0,0,8.05,2
402,403,0,3,1,1,0,9.825,2
403,404,0,3,0,1,0,15.85,2
404,405,0,3,1,0,0,8.6625,2
405,406,0,2,0,1,0,21.0,2
406,407,0,3,0,0,0,7.75,2
407,408,1,2,0,1,1,18.75,2
408,409,0,3,0,0,0,7.775,2
409,410,0,3,1,3,1,25.4667,2
410,411,0,3,0,0,0,7.8958,2
411,412,0,3,0,0,0,6.8583,1
412,413,1,1,1,1,0,90.0,1
413,414,0,2,0,0,0,0.0,2
414,415,1,3,0,0,0,7.925,2
415,416,0,3,1,0,0,8.05,2
416,417,1,2,1,1,1,32.5,2
417,418,1,2,1,0,2,13.0,2
418,419,0,2,0,0,0,13.0,2
419,420,0,3,1,0,2,24.15,2
420,421,0,3,0,0,0,7.8958,0
421,422,0,3,0,0,0,7.7333,1
422,423,0,3,0,0,0,7.875,2
423,424,0,3,1,1,1,14.4,2
424,425,0,3,0,1,1,20.2125,2
425,426,0,3,0,0,0,7.25,2
426,427,1,2,1,1,0,26.0,2
427,428,1,2,1,0,0,26.0,2
428,429,0,3,0,0,0,7.75,1
429,430,1,3,0,0,0,8.05,2
430,431,1,1,0,0,0,26.55,2
431,432,1,3,1,1,0,16.1,2
432,433,1,2,1,1,0,26.0,2
433,434,0,3,0,0,0,7.125,2
434,435,0,1,0,1,0,55.9,2
435,436,1,1,1,1,2,120.0,2
436,437,0,3,1,2,2,34.375,2
437,438,1,2,1,2,3,18.75,2
438,439,0,1,0,1,4,263.0,2
439,440,0,2,0,0,0,10.5,2
440,441,1,2,1,1,1,26.25,2
441,442,0,3,0,0,0,9.5,2
442,443,0,3,0,1,0,7.775,2
443,444,1,2,1,0,0,13.0,2
444,445,1,3,0,0,0,8.1125,2
445,446,1,1,0,0,2,81.8583,2
446,447,1,2,1,0,1,19.5,2
447,448,1,1,0,0,0,26.55,2
448,449,1,3,1,2,1,19.2583,0
449,450,1,1,0,0,0,30.5,2
450,451,0,2,0,1,2,27.75,2
451,452,0,3,0,1,0,19.9667,2
452,453,0,1,0,0,0,27.75,0
453,454,1,1,0,1,0,89.1042,0
454,455,0,3,0,0,0,8.05,2
455,456,1,3,0,0,0,7.8958,0
456,457,0,1,0,0,0,26.55,2
457,458,1,1,1,1,0,51.8625,2
458,459,1,2,1,0,0,10.5,2
459,460,0,3,0,0,0,7.75,1
460,461,1,1,0,0,0,26.55,2
461,462,0,3,0,0,0,8.05,2
462,463,0,1,0,0,0,38.5,2
463,464,0,2,0,0,0,13.0,2
464,465,0,3,0,0,0,8.05,2
465,466,0,3,0,0,0,7.05,2
466,467,0,2,0,0,0,0.0,2
467,468,0,1,0,0,0,26.55,2
468,469,0,3,0,0,0,7.725,1
469,470,1,3,1,2,1,19.2583,0
470,471,0,3,0,0,0,7.25,2
471,472,0,3,0,0,0,8.6625,2
472,473,1,2,1,1,2,27.75,2
473,474,1,2,1,0,0,13.7917,0
474,475,0,3,1,0,0,9.8375,2
475,476,0,1,0,0,0,52.0,2
476,477,0,2,0,1,0,21.0,2
477,478,0,3,0,1,0,7.0458,2
478,479,0,3,0,0,0,7.5208,2
479,480,1,3,1,0,1,12.2875,2
480,481,0,3,0,5,2,46.9,2
481,482,0,2,0,0,0,0.0,2
482,483,0,3,0,0,0,8.05,2
483,484,1,3,1,0,0,9.5875,2
484,485,1,1,0,1,0,91.0792,0
485,486,0,3,1,3,1,25.4667,2
486,487,1,1,1,1,0,90.0,2
487,488,0,1,0,0,0,29.7,0
488,489,0,3,0,0,0,8.05,2
489,490,1,3,0,1,1,15.9,2
490,491,0,3,0,1,0,19.9667,2
491,492,0,3,0,0,0,7.25,2
492,493,0,1,0,0,0,30.5,2
493,494,0,1,0,0,0,49.5042,0
494,495,0,3,0,0,0,8.05,2
495,496,0,3,0,0,0,14.4583,0
496,497,1,1,1,1,0,78.2667,0
497,498,0,3,0,0,0,15.1,2
498,499,0,1,1,1,2,151.55,2
499,500,0,3,0,0,0,7.7958,2
500,501,0,3,0,0,0,8.6625,2
501,502,0,3,1,0,0,7.75,1
502,503,0,3,1,0,0,7.6292,1
503,504,0,3,1,0,0,9.5875,2
504,505,1,1,1,0,0,86.5,2
505,506,0,1,0,1,0,108.9,0
506,507,1,2,1,0,2,26.0,2
507,508,1,1,0,0,0,26.55,2
508,509,0,3,0,0,0,22.525,2
509,510,1,3,0,0,0,56.4958,2
510,511,1,3,0,0,0,7.75,1
511,512,0,3,0,0,0,8.05,2
512,513,1,1,0,0,0,26.2875,2
513,514,1,1,1,1,0,59.4,0
514,515,0,3,0,0,0,7.4958,2
515,516,0,1,0,0,0,34.0208,2
516,517,1,2,1,0,0,10.5,2
517,518,0,3,0,0,0,24.15,1
518,519,1,2,1,1,0,26.0,2
519,520,0,3,0,0,0,7.8958,2
520,521,1,1,1,0,0,93.5,2
521,522,0,3,0,0,0,7.8958,2
522,523,0,3,0,0,0,7.225,0
523,524,1,1,1,0,1,57.9792,0
524,525,0,3,0,0,0,7.2292,0
525,526,0,3,0,0,0,7.75,1
526,527,1,2,1,0,0,10.5,2
527,528,0,1,0,0,0,221.7792,2
528,529,0,3,0,0,0,7.925,2
529,530,0,2,0,2,1,11.5,2
530,531,1,2,1,1,1,26.0,2
531,532,0,3,0,0,0,7.2292,0
532,533,0,3,0,1,1,7.2292,0
533,534,1,3,1,0,2,22.3583,0
534,535,0,3,1,0,0,8.6625,2
535,536,1,2,1,0,2,26.25,2
536,537,0,1,0,0,0,26.55,2
537,538,1,1,1,0,0,106.425,0
538,539,0,3,0,0,0,14.5,2
539,540,1,1,1,0,2,49.5,0
540,541,1,1,1,0,2,71.0,2
541,542,0,3,1,4,2,31.275,2
542,543,0,3,1,4,2,31.275,2
543,544,1,2,0,1,0,26.0,2
544,545,0,1,0,1,0,106.425,0
545,546,0,1,0,0,0,26.0,2
546,547,1,2,1,1,0,26.0,2
547,548,1,2,0,0,0,13.8625,0
548,549,0,3,0,1,1,20.525,2
549,550,1,2,0,1,1,36.75,2
550,551,1,1,0,0,2,110.8833,0
551,552,0,2,0,0,0,26.0,2
552,553,0,3,0,0,0,7.8292,1
553,554,1,3,0,0,0,7.225,0
554,555,1,3,1,0,0,7.775,2
555,556,0,1,0,0,0,26.55,2
556,557,1,1,1,1,0,39.6,0
557,558,0,1,0,0,0,227.525,0
558,559,1,1,1,1,1,79.65,2
559,560,1,3,1,1,0,17.4,2
560,561,0,3,0,0,0,7.75,1
561,562,0,3,0,0,0,7.8958,2
562,563,0,2,0,0,0,13.5,2
563,564,0,3,0,0,0,8.05,2
564,565,0,3,1,0,0,8.05,2
565,566,0,3,0,2,0,24.15,2
566,567,0,3,0,0,0,7.8958,2
567,568,0,3,1,0,4,21.075,2
568,569,0,3,0,0,0,7.2292,0
569,570,1,3,0,0,0,7.8542,2
570,571,1,2,0,0,0,10.5,2
571,572,1,1,1,2,0,51.4792,2
572,573,1,1,0,0,0,26.3875,2
573,574,1,3,1,0,0,7.75,1
574,575,0,3,0,0,0,8.05,2
575,576,0,3,0,0,0,14.5,2
576,577,1,2,1,0,0,13.0,2
577,578,1,1,1,1,0,55.9,2
578,579,0,3,1,1,0,14.4583,0
579,580,1,3,0,0,0,7.925,2
580,581,1,2,1,1,1,30.0,2
581,582,1,1,1,1,1,110.8833,0
582,583,0,2,0,0,0,26.0,2
583,584,0,1,0,0,0,40.125,0
584,585,0,3,0,0,0,8.7125,0
585,586,1,1,1,0,2,79.65,2
586,587,0,2,0,0,0,15.0,2
587,588,1,1,0,1,1,79.2,0
588,589,0,3,0,0,0,8.05,2
589,590,0,3,0,0,0,8.05,2
590,591,0,3,0,0,0,7.125,2
591,592,1,1,1,1,0,78.2667,0
592,593,0,3,0,0,0,7.25,2
593,594,0,3,1,0,2,7.75,1
594,595,0,2,0,1,0,26.0,2
595,596,0,3,0,1,1,24.15,2
596,597,1,2,1,0,0,33.0,2
597,598,0,3,0,0,0,0.0,2
598,599,0,3,0,0,0,7.225,0
599,600,1,1,0,1,0,56.9292,0
600,601,1,2,1,2,1,27.0,2
601,602,0,3,0,0,0,7.8958,2
602,603,0,1,0,0,0,42.4,2
603,604,0,3,0,0,0,8.05,2
604,605,1,1,0,0,0,26.55,0
605,606,0,3,0,1,0,15.55,2
606,607,0,3,0,0,0,7.8958,2
607,608,1,1,0,0,0,30.5,2
608,609,1,2,1,1,2,41.5792,0
609,610,1,1,1,0,0,153.4625,2
610,611,0,3,1,1,5,31.275,2
611,612,0,3,0,0,0,7.05,2
612,613,1,3,1,1,0,15.5,1
613,614,0,3,0,0,0,7.75,1
614,615,0,3,0,0,0,8.05,2
615,616,1,2,1,1,2,65.0,2
616,617,0,3,0,1,1,14.4,2
617,618,0,3,1,1,0,16.1,2
618,619,1,2,1,2,1,39.0,2
619,620,0,2,0,0,0,10.5,2
620,621,0,3,0,1,0,14.4542,0
621,622,1,1,0,1,0,52.5542,2
622,623,1,3,0,1,1,15.7417,0
623,624,0,3,0,0,0,7.8542,2
624,625,0,3,0,0,0,16.1,2
625,626,0,1,0,0,0,32.3208,2
626,627,0,2,0,0,0,12.35,1
627,628,1,1,1,0,0,77.9583,2
628,629,0,3,0,0,0,7.8958,2
629,630,0,3,0,0,0,7.7333,1
630,631,1,1,0,0,0,30.0,2
631,632,0,3,0,0,0,7.0542,2
632,633,1,1,0,0,0,30.5,0
633,634,0,1,0,0,0,0.0,2
634,635,0,3,1,3,2,27.9,2
635,636,1,2,1,0,0,13.0,2
636,637,0,3,0,0,0,7.925,2
637,638,0,2,0,1,1,26.25,2
638,639,0,3,1,0,5,39.6875,2
639,640,0,3,0,1,0,16.1,2
640,641,0,3,0,0,0,7.8542,2
641,642,1,1,1,0,0,69.3,0
642,643,0,3,1,3,2,27.9,2
643,644,1,3,0,0,0,56.4958,2
644,645,1,3,1,2,1,19.2583,0
645,646,1,1,0,1,0,76.7292,0
646,647,0,3,0,0,0,7.8958,2
647,648,1,1,0,0,0,35.5,0
648,649,0,3,0,0,0,7.55,2
649,650,1,3,1,0,0,7.55,2
650,651,0,3,0,0,0,7.8958,2
651,652,1,2,1,0,1,23.0,2
652,653,0,3,0,0,0,8.4333,2
653,654,1,3,1,0,0,7.8292,1
654,655,0,3,1,0,0,6.75,1
655,656,0,2,0,2,0,73.5,2
656,657,0,3,0,0,0,7.8958,2
657,658,0,3,1,1,1,15.5,1
658,659,0,2,0,0,0,13.0,2
659,660,0,1,0,0,2,113.275,0
660,661,1,1,0,2,0,133.65,2
661,662,0,3,0,0,0,7.225,0
662,663,0,1,0,0,0,25.5875,2
663,664,0,3,0,0,0,7.4958,2
664,665,1,3,0,1,0,7.925,2
665,666,0,2,0,2,0,73.5,2
666,667,0,2,0,0,0,13.0,2
667,668,0,3,0,0,0,7.775,2
668,669,0,3,0,0,0,8.05,2
669,670,1,1,1,1,0,52.0,2
670,671,1,2,1,1,1,39.0,2
671,672,0,1,0,1,0,52.0,2
672,673,0,2,0,0,0,10.5,2
673,674,1,2,0,0,0,13.0,2
674,675,0,2,0,0,0,0.0,2
675,676,0,3,0,0,0,7.775,2
676,677,0,3,0,0,0,8.05,2
677,678,1,3,1,0,0,9.8417,2
678,679,0,3,1,1,6,46.9,2
679,680,1,1,0,0,1,512.3292,0
680,681,0,3,1,0,0,8.1375,1
681,682,1,1,0,0,0,76.7292,0
682,683,0,3,0,0,0,9.225,2
683,684,0,3,0,5,2,46.9,2
684,685,0,2,0,1,1,39.0,2
685,686,0,2,0,1,2,41.5792,0
